,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,bosaso,0.0,SO,1583267888.0,77.0,11.28,49.18,76.87,9.48
2,riohacha,81.0,CO,1583267888.0,62.0,11.54,-72.91,86.0,12.75
4,namatanai,100.0,PG,1583267889.0,72.0,-3.67,152.43,84.83,4.81
5,kavieng,100.0,PG,1583267889.0,71.0,-2.57,150.8,84.79,3.47
6,victoria,40.0,HK,1583267669.0,73.0,22.29,114.16,70.0,5.82
7,tasiilaq,100.0,GL,1583267889.0,91.0,65.61,-37.64,26.46,36.75
8,lata,75.0,PT,1583267889.0,93.0,40.16,-8.33,60.01,5.82
9,mataura,5.0,NZ,1583267889.0,61.0,-46.19,168.86,53.01,17.0
10,miyako,65.0,JP,1583267889.0,84.0,39.64,141.95,32.5,3.13
11,laguna,1.0,US,1583267890.0,42.0,38.42,-121.42,75.0,10.29
12,hilo,90.0,US,1583267881.0,83.0,19.73,-155.09,71.6,8.05
13,sao filipe,0.0,CV,1583267890.0,65.0,14.9,-24.5,74.34,15.9
14,rikitea,91.0,PF,1583267890.0,80.0,-23.12,-134.97,79.18,16.82
15,puerto ayora,20.0,EC,1583267890.0,66.0,-0.74,-90.35,86.0,13.87
17,ushuaia,100.0,AR,1583267828.0,63.0,-54.8,-68.3,57.2,19.46
18,ambilobe,94.0,MG,1583267891.0,86.0,-13.2,49.05,77.4,1.74
19,kruisfontein,0.0,ZA,1583267891.0,88.0,-34.0,24.73,68.54,5.46
20,geraldton,0.0,AU,1583267891.0,29.0,-28.77,114.6,78.8,13.87
21,bethel,75.0,US,1583267804.0,62.0,41.37,-73.41,57.99,6.93
22,hailey,5.0,US,1583267892.0,65.0,43.52,-114.32,46.99,10.29
23,vaini,20.0,TO,1583267892.0,78.0,-21.2,-175.2,82.4,8.05
24,chyhyryn,100.0,UA,1583267892.0,89.0,49.08,32.66,47.37,9.86
25,saint-philippe,100.0,RE,1583267892.0,88.0,-21.36,55.77,80.6,4.7
26,punta arenas,100.0,CL,1583267892.0,81.0,-53.15,-70.92,57.2,11.41
27,nuuk,20.0,GL,1583267892.0,71.0,64.18,-51.72,5.0,18.34
28,san quintin,0.0,MX,1583267893.0,49.0,30.48,-115.95,63.79,4.9
29,ossora,74.0,RU,1583267893.0,76.0,59.24,163.07,-4.47,1.25
30,kaitangata,68.0,NZ,1583267893.0,61.0,-46.28,169.85,52.0,28.7
31,guerrero negro,0.0,MX,1583267893.0,39.0,27.98,-114.06,63.91,12.06
32,bluff,26.0,NZ,1583267893.0,61.0,-46.6,168.33,53.01,17.0
